IDX,Norman_SusDat_ID,DTXSID,dtxcid,cas_number,Name,inchi,inchiKey
324,NS00000345,DTXSID7023300,DTXCID903300,83-43-2,Methylprednisolone,"InChI=1S/C22H30O5/c1-12-8-14-15-5-7-22(27,18(26)11-23)21(15,3)10-17(25)19(14)20(2)6-4-13(24)9-16(12)20/h4,6,9,12,14-15,17,19,23,25,27H,5,7-8,10-11H2,1-3H3/t12-,14-,15-,17-,19+,20-,21-,22-/m0/s1",VHRSUDSXCMQTMA-PJHHCJLFSA-N
325,NS00000346,DTXSID50891460,DTXCID101030572,114248-23-6,"2',2'-Difluorodeoxyuridine","InChI=1S/C9H10F2N2O5/c10-9(11)6(16)4(3-14)18-7(9)13-2-1-5(15)12-8(13)17/h1-2,4,6-7,14,16H,3H2,(H,12,15,17)/t4-,6-,7-/m1/s1",FIRDBEQIJQERSE-QPPQHZFASA-N
326,NS00000347,DTXSID10891441,DTXCID301030554,135308-74-6,"N,O-Didesmethylvenlafaxine","InChI=1S/C15H23NO2/c1-16-11-14(12-5-7-13(17)8-6-12)15(18)9-3-2-4-10-15/h5-8,14,16-18H,2-4,9-11H2,1H3",MMSWXJSQCAEDLK-UHFFFAOYSA-N
327,NS00000348,DTXSID50891440,DTXCID601030553,93413-77-5,"N,N-Didesvenlafaxine","InChI=1S/C15H23NO2/c1-18-13-7-5-12(6-8-13)14(11-16)15(17)9-3-2-4-10-15/h5-8,14,17H,2-4,9-11,16H2,1H3",SUQHIQRIIBKNOR-UHFFFAOYSA-N
328,NS00000349,DTXSID4034609,DTXCID2014609,120068-37-3,Fipronil,"InChI=1/C12H4Cl2F6N4OS/c13-5-1-4(11(15,16)17)2-6(14)8(5)24-10(22)9(7(3-21)23-24)26(25)12(18,19)20/h1-2H,22H2",ZOCSXAVNDGMNBV-UHFFFAOYSA-N
329,NS00000350,DTXSID6074750,DTXCID9033557,120068-36-2,Fipronil sulfone,"InChI=1S/C12H4Cl2F6N4O2S/c13-5-1-4(11(15,16)17)2-6(14)8(5)24-10(22)9(7(3-21)23-24)27(25,26)12(18,19)20/h1-2H,22H2",LGHZJDKSVUTELU-UHFFFAOYSA-N
330,NS00000351,DTXSID50869644,DTXCID40817598,120067-83-6,Fipronil sulfide,"InChI=1S/C12H4Cl2F6N4S/c13-5-1-4(11(15,16)17)2-6(14)8(5)24-10(22)9(7(3-21)23-24)25-12(18,19)20/h1-2H,22H2",FQXWEKADCSXYOC-UHFFFAOYSA-N
331,NS00000352,DTXSID0043719,DTXCID8023719,205650-65-3,Fipronil desulfinyl,"InChI=1S/C12H4Cl2F6N4/c13-5-1-4(11(15,16)17)2-6(14)9(5)24-10(22)8(12(18,19)20)7(3-21)23-24/h1-2H,22H2",JWKXVHLIRTVXLD-UHFFFAOYSA-N
332,NS00000353,DTXSID10557479,DTXCID30508261,81346-71-6,2-[4-(3-Amino-2-hydroxypropoxy)phenyl]acetamide,"InChI=1S/C11H16N2O3/c12-6-9(14)7-16-10-3-1-8(2-4-10)5-11(13)15/h1-4,9,14H,5-7,12H2,(H2,13,15)",UWMXVJVTKRSOPW-UHFFFAOYSA-N
333,NS00000354,DTXSID2023195,DTXCID203195,84057-84-1,Lamotrigine,"InChI=1S/C9H7Cl2N5/c10-5-3-1-2-4(6(5)11)7-8(12)14-9(13)16-15-7/h1-3H,(H4,12,13,14,16)",PYZRQGJRPPTADH-UHFFFAOYSA-N
334,NS00000355,DTXSID7021237,DTXCID201237,50-55-5,Reserpine,"InChI=1S/C33H40N2O9/c1-38-19-7-8-20-21-9-10-35-16-18-13-27(44-32(36)17-11-25(39-2)30(41-4)26(12-17)40-3)31(42-5)28(33(37)43-6)22(18)15-24(35)29(21)34-23(20)14-19/h7-8,11-12,14,18,22,24,27-28,31,34H,9-10,13,15-16H2,1-6H3/t18-,22+,24-,27-,28+,31+/m1/s1",QEVHRUUCFGRFIF-MDEJGZGSSA-N
335,NS00000356,DTXSID7020760,DTXCID90760,3778-73-2,Ifosfamide,"InChI=1/C7H15Cl2N2O2P/c8-2-4-10-14(12)11(6-3-9)5-1-7-13-14/h1-7H2,(H,10,12)",HOMGKSMUEGBAAB-UHFFFAOYSA-N
336,NS00000357,DTXSID7038317,DTXCID5018317,6515-38-4,"3,5,6-Trichloro-2-pyridinol","InChI=1S/C5H2Cl3NO/c6-2-1-3(7)5(10)9-4(2)8/h1H,(H,9,10)",WCYYAQFQZQEUEN-UHFFFAOYSA-N
337,NS00000358,DTXSID5037523,DTXCID3017523,962-58-3,Diazoxon,"InChI=1S/C12H21N2O4P/c1-6-16-19(15,17-7-2)18-11-8-10(5)13-12(14-11)9(3)4/h8-9H,6-7H2,1-5H3",VBLJFQYCTRKKKF-UHFFFAOYSA-N
338,NS00000359,DTXSID1027502,DTXCID507502,2814-20-2,2-Isopropyl-6-methyl-4-pyrimidone,"InChI=1S/C8H12N2O/c1-5(2)8-9-6(3)4-7(11)10-8/h4-5H,1-3H3,(H,9,10,11)",AJPIUNPJBFBUKK-UHFFFAOYSA-N
339,NS00000360,DTXSID00199862,DTXCID60122353,519-65-3,Dioxypyramidon,"InChI=1S/C13H17N3O3/c1-10(17)15(4)16(11-8-6-5-7-9-11)13(19)12(18)14(2)3/h5-9H,1-4H3",IRTZMJWVZQYURE-UHFFFAOYSA-N
340,NS00000361,DTXSID5032442,DTXCID3012442,138261-41-3,Imidacloprid,"InChI=1S/C9H10ClN5O2/c10-8-2-1-7(5-12-8)6-14-4-3-11-9(14)13-15(16)17/h1-2,5H,3-4,6H2,(H,11,13)",YWTYJOPNNQFBPC-UHFFFAOYSA-N
341,NS00000362,DTXSID1032569,DTXCID9012569,23103-98-2,Pirimicarb,InChI=1S/C11H18N4O2/c1-7-8(2)12-10(14(3)4)13-9(7)17-11(16)15(5)6/h1-6H3,YFGYUFNIOHWBOB-UHFFFAOYSA-N
342,NS00000363,DTXSID8034877,DTXCID6014877,53112-28-0,Pyrimethanil,"InChI=1S/C12H13N3/c1-9-8-10(2)14-12(13-9)15-11-6-4-3-5-7-11/h3-8H,1-2H3,(H,13,14,15)",ZLIBICFPKPWGIZ-UHFFFAOYSA-N
343,NS00000364,DTXSID4059916,DTXCID1039343,375-22-4,Perfluorobutanoic acid,"InChI=1S/C4HF7O2/c5-2(6,1(12)13)3(7,8)4(9,10)11/h(H,12,13)",YPJUNDFVDDCYIH-UHFFFAOYSA-N
344,NS00000365,DTXSID6062599,DTXCID9037612,2706-90-3,Perfluoropentanoic acid,"InChI=1S/C5HF9O2/c6-2(7,1(15)16)3(8,9)4(10,11)5(12,13)14/h(H,15,16)",CXZGQIAOTKWCDB-UHFFFAOYSA-N
345,NS00000366,DTXSID3031862,DTXCID1011862,307-24-4,Perfluorohexanoic acid,"InChI=1S/C6HF11O2/c7-2(8,1(18)19)3(9,10)4(11,12)5(13,14)6(15,16)17/h(H,18,19)",PXUULQAPEKKVAH-UHFFFAOYSA-N
346,NS00000367,DTXSID1037303,DTXCID9017303,375-85-9,Perfluoroheptanoic acid,"InChI=1S/C7HF13O2/c8-2(9,1(21)22)3(10,11)4(12,13)5(14,15)6(16,17)7(18,19)20/h(H,21,22)",ZWBAMYVPMDSJGQ-UHFFFAOYSA-N
347,NS00000368,DTXSID8031863,DTXCID6011863,375-95-1,Perfluorononanoic acid,"InChI=1S/C9HF17O2/c10-2(11,1(27)28)3(12,13)4(14,15)5(16,17)6(18,19)7(20,21)8(22,23)9(24,25)26/h(H,27,28)",UZUFPBIDKMEQEQ-UHFFFAOYSA-N
348,NS00000369,DTXSID3031860,DTXCID1011860,335-76-2,Perfluorodecanoic acid,"InChI=1S/C10HF19O2/c11-2(12,1(30)31)3(13,14)4(15,16)5(17,18)6(19,20)7(21,22)8(23,24)9(25,26)10(27,28)29/h(H,30,31)",PCIUEQPBYFRTEM-UHFFFAOYSA-N
349,NS00000370,DTXSID8047553,DTXCID6027553,2058-94-8,Perfluoroundecanoic acid,"InChI=1S/C11HF21O2/c12-2(13,1(33)34)3(14,15)4(16,17)5(18,19)6(20,21)7(22,23)8(24,25)9(26,27)10(28,29)11(30,31)32/h(H,33,34)",SIDINRCMMRKXGQ-UHFFFAOYSA-N
350,NS00000371,DTXSID1032646,DTXCID9012646,4151-50-2,N-Ethylperfluorooctanesulfonamide,"InChI=1S/C10H6F17NO2S/c1-2-28-31(29,30)10(26,27)8(21,22)6(17,18)4(13,14)3(11,12)5(15,16)7(19,20)9(23,24)25/h28H,2H2,1H3",CCEKAJIANROZEO-UHFFFAOYSA-N
351,NS00000372,DTXSID30891463,DTXCID201030575,NOCAS_891463,"(2E)-3,4,4,5,5,6,6,7,7,8,8,8-Dodecafluoro-2-octenoic acid","InChI=1S/C8H2F12O2/c9-2(1-3(21)22)4(10,11)5(12,13)6(14,15)7(16,17)8(18,19)20/h1H,(H,21,22)/b2-1+",BKOBFLVYTXYFQZ-OWOJBTEDSA-N
352,NS00000373,DTXSID001019143,DTXCID20931221,161094-76-4,8:2 fluorotelomer unsaturated carboxylic acid,"InChI=1S/C10H2F16O2/c11-2(1-3(27)28)4(12,13)5(14,15)6(16,17)7(18,19)8(20,21)9(22,23)10(24,25)26/h1H,(H,27,28)/b2-1-",WHZXTVOEGZRRJM-UPHRSURJSA-N
353,NS00000374,DTXSID10891507,DTXCID301030609,1185255-09-7,Azoxystrobin acid,"InChI=1S/C21H15N3O5/c1-27-12-16(21(25)26)15-7-3-5-9-18(15)29-20-10-19(23-13-24-20)28-17-8-4-2-6-14(17)11-22/h2-10,12-13H,1H3,(H,25,26)/b16-12+",IKCXDZCEWZARFL-FOWTUZBSSA-N
354,NS00000375,DTXSID90891464,DTXCID901030576,73851-70-4,Ranitidine-S-oxide,"InChI=1S/C13H22N4O4S/c1-14-13(9-17(18)19)15-6-7-22(20)10-12-5-4-11(21-12)8-16(2)3/h4-5,9,14-15H,6-8,10H2,1-3H3",SKHXRNHSZTXSLP-UHFFFAOYSA-N
355,NS00000376,DTXSID50891465,DTXCID601030577,73857-20-2,Ranitidine-N-oxide,"InChI=1S/C13H22N4O4S/c1-14-13(8-16(18)19)15-6-7-22-10-12-5-4-11(21-12)9-17(2,3)20/h4-5,8,14-15H,6-7,9-10H2,1-3H3",DFJVUWAHTQPQCV-UHFFFAOYSA-N
356,NS00000377,DTXSID9057975,DTXCID7031743,142469-14-5,Tritosulfuron,"InChI=1S/C13H9F6N5O4S/c1-28-11-21-8(13(17,18)19)20-9(23-11)22-10(25)24-29(26,27)7-5-3-2-4-6(7)12(14,15)16/h2-5H,1H3,(H2,20,21,22,23,24,25)",KVEQCVKVIFQSGC-UHFFFAOYSA-N
357,NS00000378,DTXSID3021196,DTXCID401196,139-40-2,"2,4-Bis(isopropylamino)-6-chloro-1,3,5-triazine","InChI=1S/C9H16ClN5/c1-5(2)11-8-13-7(10)14-9(15-8)12-6(3)4/h5-6H,1-4H3,(H2,11,12,13,14,15)",WJNRPILHGGKWCK-UHFFFAOYSA-N
358,NS00000379,DTXSID1023653,DTXCID203653,76-75-5,Thiopental,"InChI=1S/C11H18N2O2S/c1-4-6-7(3)11(5-2)8(14)12-10(16)13-9(11)15/h7H,4-6H2,1-3H3,(H2,12,13,14,15,16)",IUJDSEJGGMCXSG-UHFFFAOYSA-N
359,NS00000380,DTXSID9023336,DTXCID203336,57-27-2,Morphine,"InChI=1S/C17H19NO3/c1-18-7-6-17-10-3-5-13(20)16(17)21-15-12(19)4-2-9(14(15)17)8-11(10)18/h2-5,10-11,13,16,19-20H,6-8H2,1H3/t10-,11+,13-,16-,17-/m0/s1",BQJCRHHNABKAKU-KBQPJGBKSA-N
360,NS00000381,DTXSID0048006,DTXCID0027983,33665-90-6,Acesulfame,"InChI=1S/C4H5NO4S/c1-3-2-4(6)5-10(7,8)9-3/h2H,1H3,(H,5,6)",YGCFIWIQZPHFLU-UHFFFAOYSA-N
361,NS00000382,DTXSID0022985,DTXCID402985,299-42-3,Ephedrine,"InChI=1S/C10H15NO/c1-8(11-2)10(12)9-6-4-3-5-7-9/h3-8,10-12H,1-2H3/t8-,10-/m0/s1",KWGRBVOPPLSCSI-WPRPVWTQSA-N
362,NS00000383,DTXSID1023990,DTXCID803990,21725-46-2,Cyanazine,"InChI=1S/C9H13ClN6/c1-4-12-7-13-6(10)14-8(15-7)16-9(2,3)5-11/h4H2,1-3H3,(H2,12,13,14,15,16)",MZZBPDKVEFVLFF-UHFFFAOYSA-N
363,NS00000384,DTXSID7020479,DTXCID50479,60-51-5,Dimethoate,"InChI=1S/C5H12NO3PS2/c1-6-5(7)4-12-10(11,8-2)9-3/h4H2,1-3H3,(H,6,7)",MCWXGJITAZMZEV-UHFFFAOYSA-N
364,NS00000385,DTXSID0020107,DTXCID20107,22839-47-0,Aspartame,"InChI=1S/C14H18N2O5/c1-21-14(20)11(7-9-5-3-2-4-6-9)16-13(19)10(15)8-12(17)18/h2-6,10-11H,7-8,15H2,1H3,(H,16,19)(H,17,18)/t10-,11-/m0/s1",IAOZJIPTCAWIRG-QWRGUYRKSA-N
365,NS00000386,DTXSID4022787,DTXCID802787,83881-51-0,Cetirizine,"InChI=1/C21H25ClN2O3/c22-19-8-6-18(7-9-19)21(17-4-2-1-3-5-17)24-12-10-23(11-13-24)14-15-27-16-20(25)26/h1-9,21H,10-16H2,(H,25,26)",ZKLPARSLTMPFCP-UHFFFAOYSA-N
366,NS00000387,DTXSID0023169,DTXCID903169,138402-11-6,Irbesartan,"InChI=1S/C25H28N6O/c1-2-3-10-22-26-25(15-6-7-16-25)24(32)31(22)17-18-11-13-19(14-12-18)20-8-4-5-9-21(20)23-27-29-30-28-23/h4-5,8-9,11-14H,2-3,6-7,10,15-17H2,1H3,(H,27,28,29,30)",YOSHYTLCDANDAN-UHFFFAOYSA-N
367,NS00000388,DTXSID0022989,DTXCID002989,133040-01-4,Eprosartan,"InChI=1S/C23H24N2O4S/c1-2-3-6-21-24-14-19(12-18(23(28)29)13-20-5-4-11-30-20)25(21)15-16-7-9-17(10-8-16)22(26)27/h4-5,7-12,14H,2-3,6,13,15H2,1H3,(H,26,27)(H,28,29)/b18-12+",OROAFUQRIXKEMV-LDADJPATSA-N
368,NS00000389,DTXSID7034753,DTXCID5014753,173159-57-4,Foramsulfuron,"InChI=1S/C17H20N6O7S/c1-23(2)15(25)11-6-5-10(18-9-24)7-12(11)31(27,28)22-17(26)21-16-19-13(29-3)8-14(20-16)30-4/h5-9H,1-4H3,(H,18,24)(H2,19,20,21,22,26)",PXDNXJSDGQBLKS-UHFFFAOYSA-N
369,NS00000390,DTXSID7032638,DTXCID5012638,175013-18-0,Pyraclostrobin,"InChI=1S/C19H18ClN3O4/c1-25-19(24)23(26-2)17-6-4-3-5-14(17)13-27-18-11-12-22(21-18)16-9-7-15(20)8-10-16/h3-12H,13H2,1-2H3",HZRSNVGNWUDEFX-UHFFFAOYSA-N
370,NS00000391,DTXSID2020341,DTXCID40341,76-57-3,Codeine,"InChI=1S/C18H21NO3/c1-19-8-7-18-11-4-5-13(20)17(18)22-16-14(21-2)6-3-10(15(16)18)9-12(11)19/h3-6,11-13,17,20H,7-9H2,1-2H3/t11-,12+,13-,17-,18-/m0/s1",OROGSEYTTFOCAN-DNJOTXNNSA-N
371,NS00000392,DTXSID6045169,DTXCID4025169,364-62-5,Metoclopramide,"InChI=1S/C14H22ClN3O2/c1-4-18(5-2)7-6-17-14(19)10-8-11(15)12(16)9-13(10)20-3/h8-9H,4-7,16H2,1-3H3,(H,17,19)",TTWJBBZEZQICBI-UHFFFAOYSA-N
372,NS00000393,DTXSID8023006,DTXCID703006,74-55-5,Ethambutol,"InChI=1S/C10H24N2O2/c1-3-9(7-13)11-5-6-12-10(4-2)8-14/h9-14H,3-8H2,1-2H3/t9-,10-/m0/s1",AEUTYOVWOVBAKS-UWVGGRQHSA-N
373,NS00000394,DTXSID9021184,DTXCID301184,50-24-8,Prednisolone,"InChI=1S/C21H28O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h5,7,9,14-16,18,22,24,26H,3-4,6,8,10-11H2,1-2H3/t14-,15-,16-,18+,19-,20-,21-/m0/s1",OIGNJSKKLXVSLS-VWUMJDOOSA-N
374,NS00000395,DTXSID7042190,DTXCID5022190,2605-79-0,"N,N-Dimethyldecylamine oxide","InChI=1S/C12H27NO/c1-4-5-6-7-8-9-10-11-12-13(2,3)14/h4-12H2,1-3H3",ZRKZFNZPJKEWPC-UHFFFAOYSA-N
375,NS00000396,DTXSID8048492,DTXCID90820057,287714-41-4,Rosuvastatin,"InChI=1S/C22H28FN3O6S/c1-13(2)20-18(10-9-16(27)11-17(28)12-19(29)30)21(14-5-7-15(23)8-6-14)25-22(24-20)26(3)33(4,31)32/h5-10,13,16-17,27-28H,11-12H2,1-4H3,(H,29,30)/b10-9+/t16-,17-/m1/s1",BPRHUIZQVSMCRT-VEUZHWNKSA-N
376,NS00000397,DTXSID7022706,NA,34911-55-2,Bupropion,NA,NA
377,NS00000398,DTXSID8023636,DTXCID803636,144701-48-4,Telmisartan,"InChI=1S/C33H30N4O2/c1-4-9-30-35-31-21(2)18-24(32-34-27-12-7-8-13-28(27)36(32)3)19-29(31)37(30)20-22-14-16-23(17-15-22)25-10-5-6-11-26(25)33(38)39/h5-8,10-19H,4,9,20H2,1-3H3,(H,38,39)",RMMXLENWKUUMAY-UHFFFAOYSA-N
378,NS00000399,DTXSID4041070,DTXCID2021070,24280-93-1,Mycophenolic acid,"InChI=1S/C17H20O6/c1-9(5-7-13(18)19)4-6-11-15(20)14-12(8-23-17(14)21)10(2)16(11)22-3/h4,20H,5-8H2,1-3H3,(H,18,19)/b9-4+",HPNSFSBZBAHARI-RUDMXATFSA-N
379,NS00000400,DTXSID2022678,DTXCID00209197,90357-06-5,Bicalutamide,"InChI=1/C18H14F4N2O4S/c1-17(26,10-29(27,28)14-6-3-12(19)4-7-14)16(25)24-13-5-2-11(9-23)15(8-13)18(20,21)22/h2-8,26H,10H2,1H3,(H,24,25)",LKJPYSCBVHEWIU-UHFFFAOYSA-N
380,NS00000401,DTXSID5041809,DTXCID3021809,100-88-9,Cyclamic acid,"InChI=1S/C6H13NO3S/c8-11(9,10)7-6-4-2-1-3-5-6/h6-7H,1-5H2,(H,8,9,10)",HCAJEUSONLESMK-UHFFFAOYSA-N
381,NS00000402,DTXSID3025706,DTXCID305706,20702-77-6,Neohesperidin dihydrochalcone,"InChI=1S/C28H36O15/c1-11-21(34)23(36)25(38)27(40-11)43-26-24(37)22(35)19(10-29)42-28(26)41-13-8-16(32)20(17(33)9-13)14(30)5-3-12-4-6-18(39-2)15(31)7-12/h4,6-9,11,19,21-29,31-38H,3,5,10H2,1-2H3/t11-,19+,21-,22+,23+,24-,25+,26+,27-,28+/m0/s1",ITVGXXMINPYUHD-CUVHLRMHSA-N
382,NS00000403,DTXSID2038443,DTXCID501030562,50-36-2,Cocaine,"InChI=1S/C17H21NO4/c1-18-12-8-9-13(18)15(17(20)21-2)14(10-12)22-16(19)11-6-4-3-5-7-11/h3-7,12-15H,8-10H2,1-2H3/t12-,13+,14-,15+/m0/s1",ZPUCINDJVBIVPJ-LJISPDSOSA-N
383,NS00000404,DTXSID9045138,DTXCID7025138,6640-24-0,1-(3-Chlorophenyl)piperazine,"InChI=1S/C10H13ClN2/c11-9-2-1-3-10(8-9)13-6-4-12-5-7-13/h1-3,8,12H,4-7H2",VHFVKMTVMIZMIK-UHFFFAOYSA-N
384,NS00000405,DTXSID10165876,DTXCID2088367,15532-75-9,TFMPP,"InChI=1S/C11H13F3N2/c12-11(13,14)9-2-1-3-10(8-9)16-6-4-15-5-7-16/h1-3,8,15H,4-7H2",KKIMDKMETPPURN-UHFFFAOYSA-N
385,NS00000406,DTXSID4022600,DTXCID402600,300-62-9,Amphetamine,"InChI=1/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3",KWTSXDURSIMDCE-UHFFFAOYSA-N
386,NS00000407,DTXSID30859442,DTXCID60203010,1130667-83-2,3-(Benzoyloxy)-8-methyl-8-azabicyclo[3.2.1]octane-2-carboxylic acid,"InChI=1/C16H19NO4/c1-17-11-7-8-12(17)14(15(18)19)13(9-11)21-16(20)10-5-3-2-4-6-10/h2-6,11-14H,7-9H2,1H3,(H,18,19)",GVGYEFKIHJTNQZ-UHFFFAOYSA-N
387,NS00000408,DTXSID10880951,DTXCID201022287,30223-73-5,"2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine","InChI=1S/C20H23N/c1-4-19-20(15-16(2)21(19)3,17-11-7-5-8-12-17)18-13-9-6-10-14-18/h4-14,16H,15H2,1-3H3",AJRJPORIQGYFMT-UHFFFAOYSA-N
388,NS00000409,DTXSID8023187,DTXCID703187,6740-88-1,Ketamine,"InChI=1S/C13H16ClNO/c1-15-13(9-5-4-8-12(13)16)10-6-2-3-7-11(10)14/h2-3,6-7,15H,4-5,8-9H2,1H3",YQEZLKZALYSWHR-UHFFFAOYSA-N
389,NS00000410,DTXSID20891437,DTXCID30888999,1189805-46-6,Mephedrone,"InChI=1S/C11H15NO/c1-8-4-6-10(7-5-8)11(13)9(2)12-3/h4-7,9,12H,1-3H3",YELGFTGWJGBAQU-UHFFFAOYSA-N
390,NS00000411,DTXSID7023273,DTXCID003273,76-99-3,Methadone,"InChI=1/C21H27NO/c1-5-20(23)21(16-17(2)22(3)4,18-12-8-6-9-13-18)19-14-10-7-11-15-19/h6-15,17H,5,16H2,1-4H3",USSIQXCVUWKGNF-UHFFFAOYSA-N
391,NS00000412,DTXSID8037128,DTXCID6017128,537-46-2,Methamphetamine,"InChI=1S/C10H15N/c1-9(11-2)8-10-6-4-3-5-7-10/h3-7,9,11H,8H2,1-2H3/t9-/m0/s1",MYWUZJCMWCOHBA-VIFPVBQESA-N
392,NS00000413,DTXSID5022855,DTXCID302855,5786-21-0,Clozapine,"InChI=1S/C18H19ClN4/c1-22-8-10-23(11-9-22)18-14-4-2-3-5-15(14)20-16-7-6-13(19)12-17(16)21-18/h2-7,12,20H,8-11H2,1H3",QZUDBNBUXVUHMW-UHFFFAOYSA-N
393,NS00000414,DTXSID9044297,DTXCID7024297,83015-26-3,Atomoxetine,"InChI=1S/C17H21NO/c1-14-8-6-7-11-16(14)19-17(12-13-18-2)15-9-4-3-5-10-15/h3-11,17-18H,12-13H2,1-2H3/t17-/m1/s1",VHGCDTVCOLNTBX-QGZVFWFLSA-N
394,NS00000415,DTXSID5021255,DTXCID001255,18559-94-9,Albuterol,"InChI=1S/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3",NDAUXUAQIAJITI-UHFFFAOYSA-N
395,NS00000416,DTXSID5042613,DTXCID3022613,71675-85-9,Amisulpride,"InChI=1/C17H27N3O4S/c1-4-20-8-6-7-12(20)11-19-17(21)13-9-16(25(22,23)5-2)14(18)10-15(13)24-3/h9-10,12H,4-8,11,18H2,1-3H3,(H,19,21)",NTJOBXMMWNYJFB-UHFFFAOYSA-N
396,NS00000417,DTXSID10891466,DTXCID301030578,144457-28-3,Clopidogrel carboxylic acid,"InChI=1S/C15H14ClNO2S/c16-12-4-2-1-3-11(12)14(15(18)19)17-7-5-13-10(9-17)6-8-20-13/h1-4,6,8,14H,5,7,9H2,(H,18,19)/t14-/m0/s1",DCASRSISIKYPDD-AWEZNQCLSA-N
397,NS00000419,DTXSID4023206,DTXCID103206,14769-73-4,Levamisole,"InChI=1S/C11H12N2S/c1-2-4-9(5-3-1)10-8-13-6-7-14-11(13)12-10/h1-5,10H,6-8H2/t10-/m1/s1",HLFSDGLLUJUHTE-SNVBAGLBSA-N
398,NS00000420,DTXSID6023498,DTXCID003498,81093-37-0,Pravastatin,"InChI=1S/C23H36O7/c1-4-13(2)23(29)30-20-11-17(25)9-15-6-5-14(3)19(22(15)20)8-7-16(24)10-18(26)12-21(27)28/h5-6,9,13-14,16-20,22,24-26H,4,7-8,10-12H2,1-3H3,(H,27,28)/t13-,14-,16+,17+,18+,19-,20-,22-/m0/s1",TUZYXOIXSAXUGO-PZAWKZKUSA-N
399,NS00000421,DTXSID8023715,DTXCID003715,739-71-9,Trimipramine,"InChI=1/C20H26N2/c1-16(14-21(2)3)15-22-19-10-6-4-8-17(19)12-13-18-9-5-7-11-20(18)22/h4-11,16H,12-15H2,1-3H3",ZSCDBOWYZJWBIY-UHFFFAOYSA-N
400,NS00000422,DTXSID40167207,DTXCID0089698,161599-46-8,"2',3'-Di-O-acetyl-5'-deoxy-5-fluorocytidine","InChI=1S/C13H16FN3O6/c1-5-9(22-6(2)18)10(23-7(3)19)12(21-5)17-4-8(14)11(15)16-13(17)20/h4-5,9-10,12H,1-3H3,(H2,15,16,20)/t5-,9-,10-,12-/m1/s1",NWJBWNIUGNXJGO-RPULLILYSA-N
401,NS00000423,DTXSID90869865,DTXCID30817769,136949-58-1,Iobitridol,"InChI=1S/C20H28I3N3O9/c1-25(3-10(31)7-29)19(34)12-14(21)13(20(35)26(2)4-11(32)8-30)16(23)17(15(12)22)24-18(33)9(5-27)6-28/h9-11,27-32H,3-8H2,1-2H3,(H,24,33)",YLPBXIKWXNRACS-UHFFFAOYSA-N
402,NS00000424,DTXSID6034186,DTXCID4014186,52-01-7,Spironolactone,"InChI=1S/C24H32O4S/c1-14(25)29-19-13-15-12-16(26)4-8-22(15,2)17-5-9-23(3)18(21(17)19)6-10-24(23)11-7-20(27)28-24/h12,17-19,21H,4-11,13H2,1-3H3/t17-,18-,19+,21+,22-,23-,24+/m0/s1",LXMSZDCAJNLERA-ZHYRCANASA-N
403,NS00000425,DTXSID70197572,DTXCID30120063,486460-32-6,Sitagliptin,"InChI=1S/C16H15F6N5O/c17-10-6-12(19)11(18)4-8(10)3-9(23)5-14(28)26-1-2-27-13(7-26)24-25-15(27)16(20,21)22/h4,6,9H,1-3,5,7,23H2/t9-/m1/s1",MFFMDFFZMYYVKS-SECBINFHSA-N
404,NS00000426,DTXSID40440941,DTXCID00391763,2806-24-8,Perfluorooctanesulfonamidoacetic acid,"InChI=1S/C10H4F17NO4S/c11-3(12,5(15,16)7(19,20)9(23,24)25)4(13,14)6(17,18)8(21,22)10(26,27)33(31,32)28-1-2(29)30/h28H,1H2,(H,29,30)",AYLOUUCBACYHAB-UHFFFAOYSA-N
405,NS00000427,DTXSID10624392,DTXCID30205965,2355-31-9,2-(N-Methylperfluorooctanesulfonamido)acetic acid,"InChI=1S/C11H6F17NO4S/c1-29(2-3(30)31)34(32,33)11(27,28)9(22,23)7(18,19)5(14,15)4(12,13)6(16,17)8(20,21)10(24,25)26/h2H2,1H3,(H,30,31)",QNDHIRFIMVNHBN-UHFFFAOYSA-N
406,NS00000428,DTXSID5062760,DTXCID0038097,2991-50-6,2-(N-Ethylperfluorooctanesulfonamido)acetic acid,"InChI=1S/C12H8F17NO4S/c1-2-30(3-4(31)32)35(33,34)12(28,29)10(23,24)8(19,20)6(15,16)5(13,14)7(17,18)9(21,22)11(25,26)27/h2-3H2,1H3,(H,31,32)",CKRXVVGETMYFIO-UHFFFAOYSA-N
407,NS00000429,DTXSID50561590,DTXCID80201210,57677-95-9,"Bis(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl) hydrogen phosphate","InChI=1S/C16H9F26O4P/c17-5(18,7(21,22)9(25,26)11(29,30)13(33,34)15(37,38)39)1-3-45-47(43,44)46-4-2-6(19,20)8(23,24)10(27,28)12(31,32)14(35,36)16(40,41)42/h1-4H2,(H,43,44)",ZDYYWMSLMLTXDM-UHFFFAOYSA-N
